"メーカーコード","メーカー名","車種コード","車種名","グレードID","グレード名","駆動方式","車両本体価格(税抜き)","認定型式","ミッション区分","積載量(kg)","乗車定員","燃料区分","排気量(cc)","車検サイクル[初回](年)","車検サイクル[2回目以降](年)","代表車種グレード(1=代表車種)","＊調達価格＊","＊登録法定費用＊","＊登録代行費用＊","＊資金管理料金＊","＊メンテナンス区分＊","＊区分状態(0=未確定、1=確定)＊"
"1","トヨタ","1","ｂＢ","5","Ｓ","ＦＦ","1486364","CBA-QNC20","AT","-","5","無鉛レギュラーガソリン","1297","3","2","1","0","0","0","0","2B","1"
"1","トヨタ","1","ｂＢ","12","Ｚ","ＦＦ","1577273","CBA-QNC21","AT","-","5","無鉛レギュラーガソリン","1495","3","2","0","0","0","0","0","2B","1"
"1","トヨタ","1","ｂＢ","6902","Ｓ　煌","ＦＦ","1704545","CBA-QNC20","AT","-","5","無鉛レギュラーガソリン","1297","3","2","0","0","0","0","0","2B","1"
"1","トヨタ","1","ｂＢ","6903","Ｚ　煌","ＦＦ","1795455","CBA-QNC21","AT","-","5","無鉛レギュラーガソリン","1495","3","2","0","0","0","0","0","2B","1"
"1","トヨタ","2","イスト","25","１５０Ｇ","ＦＦ","1795238","DBA-NCP110","CVT","-","5","無鉛レギュラーガソリン","1496","3","2","0","0","0","0","0","2B","1"
"1","トヨタ","2","イスト","26","１５０Ｘ","ＦＦ","1690476","DBA-NCP110","CVT","-","5","無鉛レギュラーガソリン","1496","3","2","1","0","0","0","0","2B","1"
"1","トヨタ","2","イスト","28","１５０Ｇ","４ＷＤ","1995238","DBA-NCP115","CVT","-","5","無鉛レギュラーガソリン","1496","3","2","0","0","0","0","0","2B","1"
"1","トヨタ","2","イスト","29","１５０Ｘ","４ＷＤ","1890476","DBA-NCP115","CVT","-","5","無鉛レギュラーガソリン","1496","3","2","1","0","0","0","0","2B","1"
"1","トヨタ","2","イスト","5836","１５０Ｘ　Ｃパッケージ","ＦＦ","1557143","DBA-NCP110","CVT","-","5","無鉛レギュラーガソリン","1496","3","2","1","0","0","0","0","2B","1"
"1","トヨタ","2","イスト","5837","１５０Ｘ　Ｃパッケージ","４ＷＤ","1757143","DBA-NCP115","CVT","-","5","無鉛レギュラーガソリン","1496","3","2","0","0","0","0","0","2B","1"
"1","トヨタ","5","ＲＡＶ４","33","スタイル","４ＷＤ","2247619","DBA-ACA31W","CVT","-","5","無鉛レギュラーガソリン","2362","3","2","1","0","0","0","0","2E","1"
"1","トヨタ","5","ＲＡＶ４","36","スタイル","ＦＦ","2047619","DBA-ACA36W","CVT","-","5","無鉛レギュラーガソリン","2362","3","2","1","0","0","0","0","2E","1"
"1","トヨタ","5","ＲＡＶ４","8005","スタイル　Ｓパッケージ","ＦＦ","2190476","DBA-ACA36W","CVT","-","5","無鉛レギュラーガソリン","2362","3","2","0","0","0","0","0","2E","1"
"1","トヨタ","5","ＲＡＶ４","8006","スタイル　Ｓパッケージ","４ＷＤ","2390476","DBA-ACA31W","CVT","-","5","無鉛レギュラーガソリン","2362","3","2","0","0","0","0","0","2E","1"
"1","トヨタ","9","アリオン","37","Ａ１５","ＦＦ","1700909","DBA-NZT260","CVT","-","5","無鉛レギュラーガソリン","1496","3","2","1","0","0","0","0","2B","1"
"1","トヨタ","9","アリオン","38","Ａ１５　Ｇパッケージ","ＦＦ","1805455","DBA-NZT260","CVT","-","5","無鉛レギュラーガソリン","1496","3","2","0","0","0","0","0","2B","1"
"1","トヨタ","9","アリオン","41","Ａ１８","ＦＦ","1825455","DBA-ZRT260","CVT","-","5","無鉛レギュラーガソリン","1797","3","2","1","0","0","0","0","2C","1"
"1","トヨタ","9","アリオン","42","Ａ１８　Ｇパッケージ","ＦＦ","1930000","DBA-ZRT260","CVT","-","5","無鉛レギュラーガソリン","1797","3","2","0","0","0","0","0","2C","1"
"1","トヨタ","9","アリオン","46","Ａ２０","ＦＦ","2082727","DBA-ZRT261","CVT","-","5","無鉛レギュラーガソリン","1986","3","2","0","0","0","0","0","2C","1"
